,uuid,name_first,country,male,level,gender,F,M,?
93672,ed96fa15-f3ce-11eb-b0cf-121df0c29c1e,Safir,US,1.0,1.0,M,0.0,1.0,0.0
93673,ed96fcb7-f092-11eb-b0cf-121df0c29c1e,Rashid,US,1.0,1.0,M,0.0,1.0,0.0
93674,ed9704d1-f092-11eb-b0cf-121df0c29c1e,Qiong,CN,0.0,3.0,F,1.0,0.0,0.0
93675,ed970cf2-f092-11eb-b0cf-121df0c29c1e,Stephane Philippe,AU,1.0,1.0,M,0.0,1.0,0.0
93676,ed9742e3-f092-11eb-b0cf-121df0c29c1e,Haihua,CN,,3.0,M,0.0,1.0,0.0
93677,ed974832-f092-11eb-b0cf-121df0c29c1e,Le,CN,,,,,,
93678,ed97559a-f092-11eb-b0cf-121df0c29c1e,Sheng Nan,CN,1.0,3.0,M,0.0,1.0,0.0
93679,ed975872-f092-11eb-b0cf-121df0c29c1e,Fan,CN,1.0,,,,,
93680,ed975dd0-f092-11eb-b0cf-121df0c29c1e,Jian,CN,1.0,3.0,M,0.0,1.0,0.0
93681,ed976876-f092-11eb-b0cf-121df0c29c1e,Joseph,US,1.0,2.0,M,0.0,1.0,0.0
93682,ed9784ab-f092-11eb-b0cf-121df0c29c1e,Ting Kin,CA,,,,,,
93683,ed9796c4-f092-11eb-b0cf-121df0c29c1e,Syed Saaem Raza,CA,1.0,1.0,M,0.0,1.0,0.0
93684,ed979d08-f092-11eb-b0cf-121df0c29c1e,Abderahmane,CA,1.0,1.0,M,0.0,1.0,0.0
93685,ed97a899-f092-11eb-b0cf-121df0c29c1e,Liqian,CN,,,,,,
93686,ed97ae3d-f092-11eb-b0cf-121df0c29c1e,Xuwei,CN,,,,,,
93687,ed97b854-f092-11eb-b0cf-121df0c29c1e,Amir Hossein,US,1.0,2.0,M,0.0,1.0,0.0
93688,ed97cefe-f092-11eb-b0cf-121df0c29c1e,Sudheendra,US,1.0,3.0,M,0.0,1.0,0.0
93689,ed97da7c-f092-11eb-b0cf-121df0c29c1e,Aikaterini,US,0.0,2.0,F,1.0,0.0,0.0
93690,ed97e2df-f092-11eb-b0cf-121df0c29c1e,Jeff,US,1.0,2.0,M,0.0,1.0,0.0
93691,ed97e868-f092-11eb-b0cf-121df0c29c1e,Pramod,IN,1.0,2.0,M,0.0,1.0,0.0
93692,ed9807c3-f092-11eb-b0cf-121df0c29c1e,Long,CN,1.0,3.0,M,0.0,1.0,0.0
93693,ed9815e3-f092-11eb-b0cf-121df0c29c1e,Long,CN,1.0,3.0,M,0.0,1.0,0.0
93694,ed98188c-f092-11eb-b0cf-121df0c29c1e,Sebastian,SE,1.0,2.0,M,0.0,1.0,0.0
93695,ed982093-f092-11eb-b0cf-121df0c29c1e,Bo-Erik,SE,1.0,1.0,M,0.0,1.0,0.0
93696,ed982ea8-f092-11eb-b0cf-121df0c29c1e,Sebastian,SE,1.0,2.0,M,0.0,1.0,0.0
93697,ed984666-f3ce-11eb-b0cf-121df0c29c1e,Hilda,US,0.0,1.0,F,0.99772853,0.0,0.0
93698,ed986295-f3ce-11eb-b0cf-121df0c29c1e,Stella Hyowon,US,0.0,1.0,F,0.99752998,0.0,0.0
93699,ed98685b-f3ce-11eb-b0cf-121df0c29c1e,STEPHAN,DE,1.0,1.0,M,0.0,1.0,0.0
93700,ed986e50-f3ce-11eb-b0cf-121df0c29c1e,Eric,FR,1.0,1.0,M,0.0,1.0,0.0
93701,ed988764-f092-11eb-b0cf-121df0c29c1e,Dingjian,CN,,,,,,
93702,ed98bfab-f092-11eb-b0cf-121df0c29c1e,Ishay,IL,1.0,1.0,M,0.0,1.0,0.0
93703,ed98c4fd-f092-11eb-b0cf-121df0c29c1e,Moshe,IL,1.0,1.0,M,0.0,1.0,0.0
93704,ed98d68f-f092-11eb-b0cf-121df0c29c1e,Sravanthi,US,0.0,2.0,F,1.0,0.0,0.0
93705,ed98e3cb-f092-11eb-b0cf-121df0c29c1e,Chun-Yu,TW,,3.0,M,0.0,1.0,0.0
93706,ed98f3e6-f092-11eb-b0cf-121df0c29c1e,You,CN,,3.0,M,0.0,1.0,0.0
93707,ed98f69e-f092-11eb-b0cf-121df0c29c1e,Jie,CN,,3.0,M,0.0,1.0,0.0
93708,ed9903fb-f092-11eb-b0cf-121df0c29c1e,Shanhui,US,0.0,2.0,F,1.0,0.0,0.0
93709,ed991f83-f092-11eb-b0cf-121df0c29c1e,Thomas,AU,1.0,1.0,M,0.0,1.0,0.0
93710,ed9934c6-f092-11eb-b0cf-121df0c29c1e,David Israel,US,1.0,3.0,M,0.0,1.0,0.0
93711,ed993a2a-f092-11eb-b0cf-121df0c29c1e,Zohar,IL,1.0,1.0,M,0.0,1.0,0.0
93712,ed994250-f092-11eb-b0cf-121df0c29c1e,Danny,IL,1.0,1.0,M,0.0,1.0,0.0
93713,ed995d31-f092-11eb-b0cf-121df0c29c1e,Yannis,FR,1.0,2.0,M,0.0,1.0,0.0
93714,ed99627f-f092-11eb-b0cf-121df0c29c1e,Prasoonkumar,US,,,,,,
93715,ed9976b1-f092-11eb-b0cf-121df0c29c1e,Sunyoung,KR,0.0,3.0,F,1.0,0.0,0.0
93716,ed997b4b-f092-11eb-b0cf-121df0c29c1e,Kwangpyo,KR,,,,,,
93717,ed9a25d2-f092-11eb-b0cf-121df0c29c1e,Fei,US,,,,,,
93718,ed9a2870-f092-11eb-b0cf-121df0c29c1e,Jeffrey,GB,1.0,1.0,M,0.0,1.0,0.0
93719,ed9a2df1-f092-11eb-b0cf-121df0c29c1e,Bernardino,GB,1.0,2.0,M,0.0,1.0,0.0
93720,ed9a3285-f3ce-11eb-b0cf-121df0c29c1e,ITZHAK,IL,1.0,1.0,M,0.0,1.0,0.0
93721,ed9a3da6-f3ce-11eb-b0cf-121df0c29c1e,Arjen,NL,1.0,1.0,M,0.0,1.0,0.0
93722,ed9a58d9-f092-11eb-b0cf-121df0c29c1e,Burhaneddin,US,,,,,,
93723,ed9a60e6-f092-11eb-b0cf-121df0c29c1e,Qi,CN,,3.0,M,0.0,1.0,0.0
93724,ed9a6901-f092-11eb-b0cf-121df0c29c1e,Yu,US,,,,,,
93725,ed9a710d-f092-11eb-b0cf-121df0c29c1e,Jian,US,,3.0,M,0.0,1.0,0.0
93726,ed9a7bc9-f092-11eb-b0cf-121df0c29c1e,Qiaoying,US,,,,,,
93727,ed9a7e16-f3ce-11eb-b0cf-121df0c29c1e,Luhao,CN,,3.0,F,1.0,0.0,0.0
93728,ed9a89fe-f3ce-11eb-b0cf-121df0c29c1e,Luhao,CN,,3.0,F,1.0,0.0,0.0
93729,ed9a8ed7-f092-11eb-b0cf-121df0c29c1e,Zhaowen,US,,,,,,
93730,ed9b09bc-f092-11eb-b0cf-121df0c29c1e,Ghulam Ahmed,IN,1.0,1.0,M,0.0,1.0,0.0
93731,ed9b1f15-f092-11eb-b0cf-121df0c29c1e,Nathan,US,1.0,2.0,M,0.0,1.0,0.0
93732,ed9b21ad-f092-11eb-b0cf-121df0c29c1e,Gregory,US,1.0,2.0,M,0.0,1.0,0.0
93733,ed9b67e9-f3ce-11eb-b0cf-121df0c29c1e,Martin,NO,1.0,1.0,M,0.0,1.0,0.0
93734,ed9b6bd7-f3ce-11eb-b0cf-121df0c29c1e,Rene,NO,1.0,1.0,M,0.0,1.0,0.0
93735,ed9b7137-f3ce-11eb-b0cf-121df0c29c1e,Bai Daniel,NO,1.0,1.0,M,0.0,1.0,0.0
93736,ed9b750d-f3ce-11eb-b0cf-121df0c29c1e,Martin Otto,NO,1.0,1.0,M,0.0,1.0,0.0
93737,ed9ba7ef-f092-11eb-b0cf-121df0c29c1e,Igor,US,1.0,1.0,M,0.0,1.0,0.0
93738,ed9bad63-f092-11eb-b0cf-121df0c29c1e,Manel Quim,CH,1.0,1.0,M,0.0,1.0,0.0
93739,ed9bb2ad-f092-11eb-b0cf-121df0c29c1e,Benjamin,CH,1.0,1.0,M,0.0,1.0,0.0
93740,ed9bddd8-f092-11eb-b0cf-121df0c29c1e,Omid,US,,1.0,M,0.0,1.0,0.0
93741,ed9c4200-f3ce-11eb-b0cf-121df0c29c1e,Yvon,CA,1.0,2.0,M,0.0,1.0,0.0
93742,ed9c45b6-f3ce-11eb-b0cf-121df0c29c1e,Normand,CA,1.0,1.0,M,0.0,1.0,0.0
93743,ed9ccaa1-f3ce-11eb-b0cf-121df0c29c1e,Elizabeta Anzhelova,CA,0.0,1.0,F,1.0,0.0,0.0
93744,ed9cef52-f3ce-11eb-b0cf-121df0c29c1e,Robert Josef,US,1.0,1.0,M,0.0,1.0,0.0
93745,ed9d1efc-f092-11eb-b0cf-121df0c29c1e,Xinlu,CN,,,,,,
93746,ed9d5363-f092-11eb-b0cf-121df0c29c1e,Chi,CN,1.0,,,,,
93747,ed9db15d-f092-11eb-b0cf-121df0c29c1e,Stephane Philippe,AU,1.0,1.0,M,0.0,1.0,0.0
93748,ed9db32f-f3ce-11eb-b0cf-121df0c29c1e,BENYAMIN,IL,1.0,1.0,M,0.0,1.0,0.0
93749,ed9dc93d-f092-11eb-b0cf-121df0c29c1e,Yongjin,KR,,3.0,M,0.0,1.0,0.0
93750,ed9de3b1-f3ce-11eb-b0cf-121df0c29c1e,Sam,US,1.0,2.0,M,0.0,1.0,0.0
93751,ed9e1da3-f092-11eb-b0cf-121df0c29c1e,Kuntal,IN,,,,,,
93752,ed9e2f75-f092-11eb-b0cf-121df0c29c1e,Weiyu,CN,,3.0,F,1.0,0.0,0.0
