,name_first,country,level,gender,F,M,?
17718,Jiwon,KR,3.0,F,1.0,0.0,0.0
48579,Glenn,US,2.0,M,0.0,1.0,0.0
35090,Terkel,DK,1.0,M,0.0,1.0,0.0
32592,Giovanni,IT,1.0,M,0.0,1.0,0.0
32098,Hyun Chul,KR,1.0,?,0.0,0.0,1.0
75,Chi,CN,,not found,not found,not found,not found
29475,Kenichi,JP,1.0,M,0.0,1.0,0.0
76,Fengyuan,US,,not found,not found,not found,not found
29716,Kelley Maria,US,1.0,F,0.88252413,0.0,0.0
17719,Razman,US,3.0,M,0.0,1.0,0.0
77,Shichang,CN,,not found,not found,not found,not found
17720,Patel Amitkumar,US,3.0,M,0.0,1.0,0.0
17721,Athul,FI,3.0,M,0.0,1.0,0.0
38062,Qun-Qing,CN,1.0,?,0.0,0.0,1.0
78,Schayne,US,,not found,not found,not found,not found
34636,Ji Su,KR,1.0,?,0.0,0.0,1.0
79,Ho-Dong,KR,,not found,not found,not found,not found
17722,Mounica,US,3.0,F,1.0,0.0,0.0
80,Xijia,CN,,not found,not found,not found,not found
81,Junhua,CN,,not found,not found,not found,not found
32583,Golnaz,US,1.0,F,1.0,0.0,0.0
17723,Zhou,CN,3.0,M,0.0,1.0,0.0
17724,Cui,CN,3.0,F,1.0,0.0,0.0
17725,Jialun,CN,3.0,M,0.0,1.0,0.0
52097,Qian,US,2.0,M,0.0,1.0,0.0
82,Minglei,SG,,not found,not found,not found,not found
83,Makoto,JP,,not found,not found,not found,not found
84,Woon-Geun,KR,,not found,not found,not found,not found
45273,Min Woo,KR,1.0,?,0.0,0.0,1.0
85,Ran,CN,,not found,not found,not found,not found
40326,Simone,NL,1.0,F,1.0,0.0,0.0
38439,Romil,US,1.0,M,0.0,1.0,0.0
86,Jungyon,KR,,not found,not found,not found,not found
87,Kuipeng,CN,,not found,not found,not found,not found
37613,Yanli,US,1.0,F,1.0,0.0,0.0
28764,Laszlo,HU,1.0,M,0.0,1.0,0.0
88,Leenart,NL,,not found,not found,not found,not found
89,Guozhao,CN,,not found,not found,not found,not found
90,Guoli,CN,,not found,not found,not found,not found
91,Sunghyun,KR,,not found,not found,not found,not found
92,Pengkai,CN,,not found,not found,not found,not found
33506,Jung Woo,KR,1.0,?,0.0,0.0,1.0
42217,Christopher J.,GB,1.0,M,0.0,1.0,0.0
30107,Mi Ji,KR,1.0,?,0.0,0.0,1.0
93,Zhi-Yi,TW,,not found,not found,not found,not found
34607,Jeong Ki,KR,1.0,?,0.0,0.0,1.0
46629,Benjamin John,CA,2.0,M,0.0,1.0,0.0
17726,Can,CN,3.0,M,0.0,1.0,0.0
94,Yonggil,KR,,not found,not found,not found,not found
95,Yu,CN,,not found,not found,not found,not found
52851,Sarika,IN,2.0,F,1.0,0.0,0.0
96,Xianyin,CN,,not found,not found,not found,not found
32110,Hyo-Jin,KR,1.0,F,1.0,0.0,0.0
97,Longyu,CN,,not found,not found,not found,not found
52352,Richard,US,2.0,M,0.0,1.0,0.0
40391,Souko,JP,1.0,F,1.0,0.0,0.0
44481,Andreas,AT,1.0,M,0.0,1.0,0.0
17727,Jaehong,KR,3.0,M,0.0,1.0,0.0
39186,Nicole,US,1.0,F,0.99661779,0.0,0.0
98,Braon,US,,not found,not found,not found,not found
17728,Basawaraj,US,3.0,M,0.0,1.0,0.0
41517,Ashwini,US,1.0,F,0.99900794,0.0,0.0
99,Wujie,CN,,not found,not found,not found,not found
44155,Dirk Johannes,US,1.0,M,0.0,1.0,0.0
